 Episode    Step   Epsilon     MeanReward     MeanLength       MeanLoss     MeanQValue      TimeDelta                Time
     772 1055000     0.010        -13.690       2513.670          0.004         -0.367         -0.357         52.237 2025-12-07T14:38:25
     773 1060000     0.010        -13.440       2527.020          0.004         -0.366         -0.355         51.911 2025-12-07T14:39:17
     775 1065000     0.010        -13.280       2548.270          0.004         -0.363         -0.352         52.386 2025-12-07T14:40:09
     777 1070000     0.010        -13.390       2548.730          0.004         -0.360         -0.350         52.145 2025-12-07T14:41:01
     778 1075000     0.010        -13.160       2560.070          0.004         -0.358         -0.348         52.355 2025-12-07T14:41:54
     780 1080000     0.010        -13.090       2567.290          0.004         -0.356         -0.346         52.238 2025-12-07T14:42:46
     782 1085000     0.010        -13.000       2574.280          0.004         -0.353         -0.343         52.123 2025-12-07T14:43:38
     783 1090000     0.010        -12.830       2588.810          0.004         -0.351         -0.341         53.223 2025-12-07T14:44:31
     785 1095000     0.010        -12.710       2600.240          0.004         -0.348         -0.338         54.415 2025-12-07T14:45:26
     787 1100000     0.010        -12.360       2610.560          0.004         -0.345         -0.335         54.271 2025-12-07T14:46:20
     788 1105000     0.010        -12.130       2620.390          0.004         -0.344         -0.334         52.842 2025-12-07T14:47:13
     789 1110000     0.010        -11.980       2641.070          0.004         -0.342         -0.332         51.856 2025-12-07T14:48:05
     791 1115000     0.010        -11.820       2671.010          0.004         -0.338         -0.329         52.087 2025-12-07T14:48:57
     793 1120000     0.010        -11.470       2686.250          0.004         -0.335         -0.325         51.989 2025-12-07T14:49:49
     794 1125000     0.010        -11.260       2705.630          0.004         -0.333         -0.323         52.132 2025-12-07T14:50:41
     795 1130000     0.010        -11.080       2731.150          0.004         -0.331         -0.321         54.070 2025-12-07T14:51:35
     797 1135000     0.010        -10.900       2763.810          0.004         -0.327         -0.318         54.283 2025-12-07T14:52:29
     798 1140000     0.010        -10.760       2776.480          0.004         -0.325         -0.316         53.536 2025-12-07T14:53:23
     799 1145000     0.010        -10.650       2795.020          0.004         -0.323         -0.314         51.991 2025-12-07T14:54:15
     801 1150000     0.010        -10.490       2820.150          0.003         -0.319         -0.310         52.200 2025-12-07T14:55:07
     802 1155000     0.010        -10.490       2820.850          0.003         -0.318         -0.308         51.885 2025-12-07T14:55:59
     803 1160000     0.010        -10.240       2835.030          0.003         -0.316         -0.306         52.100 2025-12-07T14:56:51
     805 1165000     0.010        -10.140       2849.300          0.003         -0.312         -0.303         51.795 2025-12-07T14:57:43
     806 1170000     0.010        -10.050       2859.550          0.003         -0.310         -0.301         51.871 2025-12-07T14:58:35
     808 1175000     0.010         -9.800       2878.540          0.003         -0.306         -0.296         53.945 2025-12-07T14:59:29
     809 1180000     0.010         -9.630       2892.250          0.003         -0.304         -0.294         53.794 2025-12-07T15:00:22
